Percentile,Exceedance Probability,Discharge
0.0,100.0,0.0
0.01,99.0,0.0
0.02,98.0,0.0
0.03,97.0,0.0
0.04,96.0,0.0
0.05,95.0,0.0
0.06,94.0,0.0
0.07,93.0,0.001
0.08,92.0,0.001
0.09,91.0,0.001
0.1,90.0,0.001
0.11,89.0,0.001
0.12,88.0,0.002
0.13,87.0,0.003
0.14,86.0,0.003
0.15,85.0,0.004
0.16,84.0,0.005
0.17,83.0,0.006
0.18,82.0,0.006
0.19,81.0,0.007
0.2,80.0,0.008
0.21,79.0,0.009
0.22,78.0,0.009
0.23,77.0,0.01
0.24,76.0,0.011
0.25,75.0,0.012
0.26,74.0,0.014
0.27,73.0,0.015
0.28,72.0,0.016
0.29,71.0,0.017
0.3,70.0,0.019
0.31,69.0,0.021
0.32,68.0,0.022
0.33,67.0,0.024
0.34,65.99999999999999,0.025
0.35000000000000003,64.99999999999999,0.027
0.36,64.0,0.029
0.37,63.0,0.03
0.38,62.0,0.032
0.39,61.0,0.034
0.4,60.0,0.035
0.41000000000000003,59.0,0.036
0.42,58.00000000000001,0.038
0.43,57.00000000000001,0.04
0.44,56.00000000000001,0.042
0.45,55.00000000000001,0.043
0.46,54.0,0.045
0.47000000000000003,53.0,0.047
0.48,52.0,0.049
0.49,51.0,0.051
0.5,50.0,0.053
0.51,49.0,0.054
0.52,48.0,0.057
0.53,47.0,0.058
0.54,46.0,0.061
0.55,44.99999999999999,0.063
0.56,43.99999999999999,0.065
0.5700000000000001,42.99999999999999,0.069
0.58,42.00000000000001,0.071
0.59,41.0,0.075
0.6,40.0,0.077
0.61,39.0,0.081
0.62,38.0,0.083
0.63,37.0,0.087
0.64,36.0,0.09
0.65,35.0,0.094
0.66,34.0,0.098
0.67,32.99999999999999,0.102
0.68,31.999999999999996,0.106
0.6900000000000001,30.999999999999993,0.111
0.7000000000000001,29.999999999999993,0.117
0.71,29.000000000000004,0.121
0.72,28.000000000000004,0.126
0.73,27.0,0.132
0.74,26.0,0.14
0.75,25.0,0.146
0.76,24.0,0.156
0.77,23.0,0.163
0.78,21.999999999999996,0.172
0.79,20.999999999999996,0.182
0.8,19.999999999999996,0.193
0.81,18.999999999999993,0.205
0.8200000000000001,17.999999999999993,0.218
0.8300000000000001,16.999999999999993,0.23
0.84,16.000000000000004,0.246
0.85,15.000000000000002,0.264
0.86,14.000000000000002,0.287
0.87,13.0,0.31390000000000146
0.88,12.0,0.337
0.89,10.999999999999998,0.37
0.9,9.999999999999998,0.40700000000000003
0.91,8.999999999999996,0.453
0.92,7.9999999999999964,0.512
0.93,6.999999999999995,0.588
0.9400000000000001,5.999999999999995,0.68
0.9500000000000001,4.999999999999993,0.846
0.96,4.0000000000000036,1.095
0.97,3.0000000000000027,1.522
0.98,2.0000000000000018,2.369
0.99,1.0000000000000009,5.294150000000031
1.0,0.0,42.695
